,tool,mode,iterations,mean,std
0,prism_sr,perf,1291,7.740774313608806,4.929880275494519e-06
0,baseline_float,perf,107226,12.15976333618164,0.0
0,verrou_cestac,perf,3944206,15.897588729858398,0.0006353079293402462
0,verificarlo,dbg,2310,8.32243792215983,5.006159384417096e-06
0,verrou_cestac,dbg,546227,13.798701604207357,0.0001601611397272678
0,baseline_double,perf,10000000,16.695310592651367,0.0
0,baseline_float,perf,7390,9.485172271728516,0.0
0,baseline_double,perf,5214,9.136414527893066,0.0
0,verrou_cestac,perf,2915,8.555027961730957,1.485611145724986e-05
0,verificarlo,dbg,53366,11.462170600891113,0.00014779798289280604
0,verificarlo,perf,8902150,16.58055369059245,0.001216745251902835
0,prism_ud,dbg,1384886,14.723623275756836,0.00013883960904286869
0,cadna,dbg,151991,12.508759533333333,0.001435999863818789
0,prism_ud,perf,977009,14.336088498433432,0.0015878289465864545
0,cadna,perf,486260,13.674089799999999,0.004601322358482348
0,baseline_float,perf,3274,8.671141624450684,0.0
0,baseline_double,dbg,107226,12.159914016723633,0.0
0,sr,dbg,53366,11.46207078297933,5.428595530777749e-05
0,baseline_float,perf,689261,14.051678657531738,0.0
0,baseline_float,dbg,47508,11.345810890197754,0.0
0,sr,perf,1555676,14.834882418314615,0.00013774863668335064
0,sr,dbg,284,6.227948983510335,3.976820628864543e-06
0,verificarlo,perf,572,6.927225430806478,2.144294987238573e-06
0,verrou_cestac,perf,2310,8.322460174560547,8.092194914091653e-06
0,verificarlo,dbg,23644,10.648104985555014,6.848033872780525e-05
0,verificarlo,dbg,1232846,14.601778984069824,0.0002503075654979982
0,verrou_cestac,dbg,2915,8.555036544799805,1.2959681899159436e-05
0,baseline_float,dbg,613590,13.907347679138184,0.0
0,verrou_cestac,perf,9326,9.717832565307617,2.8842407791681302e-05
0,cadna,perf,141,5.5295224266666665,4.420424816361684e-06
0,baseline_float,dbg,2915,8.555018424987793,0.0
0,sr,dbg,509,6.8106435139973955,3.532745165966808e-06
0,baseline_float,dbg,486260,13.664484977722168,0.0
0,cadna,dbg,18738,10.415499066666667,0.00017228976238322768
0,cadna,perf,170735,12.624849366666666,0.0016090858073934437
0,verificarlo,dbg,1555676,14.834561983744303,0.0001722490588397225
0,verrou_cestac,perf,47508,11.346006711324057,8.426342078134727e-05
0,sr,perf,432876,13.5555419921875,0.00027936418290277684
0,sr,dbg,1629,7.973246256510417,8.32608595130208e-06
0,verrou_sr,perf,689261,14.020565668741861,0.00048416254145161646
0,cadna,dbg,1232846,14.598539733333332,0.011674260965998166
0,sr,dbg,191791,12.741403261820475,0.00023962014792679905
0,baseline_double,perf,84975,11.92733383178711,0.0
0,cadna,perf,774263,14.120773333333332,0.007329940911236476
0,baseline_double,dbg,7924828,16.462726593017578,0.0
0,cadna,perf,4641,9.020011273333333,3.790165021347517e-05
0,baseline_double,perf,3944206,15.764973640441895,0.0
0,baseline_float,dbg,722,7.159935474395752,0.0
0,prism_ud,perf,67341,11.695178349812826,0.00014460322138007344
0,verificarlo,perf,6280291,16.23032824198405,0.001084768192208816
0,verificarlo,perf,3125715,15.53230063120524,0.0009057276606333012
0,prism_sr,dbg,4132,8.903828938802084,1.0132711696948513e-05
0,cadna,perf,1830,8.089572273333333,1.0162012049491185e-05
0,sr,perf,977009,14.369383811950684,0.0007552767434784391
0,cadna,perf,1963040,14.942736366666665,0.01858294637014145
0,baseline_float,dbg,572,6.927228927612305,0.0
0,sr,perf,613590,13.904192288716635,0.00015458613208860886
0,prism_ud,dbg,112,5.300169944763184,2.0601719851200933e-06
0,verrou_sr,perf,37649,11.113316853841146,3.660861880139487e-05
0,cadna,perf,3511191,15.672491433333334,0.03325048508180813
0,baseline_double,perf,546227,13.788006782531738,0.0
0,baseline_double,perf,23644,10.648101806640625,0.0
0,verificarlo,dbg,1384886,14.718397776285807,0.00012096594232203451
0,sr,perf,2205130,15.183270772298178,2.2261481475844826e-05
0,cadna,dbg,29836,10.8805924,0.00027603283621133553
0,baseline_float,dbg,126,5.417460918426514,0.0
0,verificarlo,dbg,107226,12.159979502360025,0.00014264437450526283
0,verificarlo,perf,1629,7.97324784596761,1.0184936106110123e-05
0,cadna,perf,53366,11.461817466666666,0.0005011600697933684
0,verificarlo,perf,67341,11.694851557413736,9.755901290545549e-05
0,cadna,perf,3125715,15.490788833333333,0.02959961286079442
0,baseline_double,perf,689261,14.020591735839844,0.0
0,baseline_float,perf,3511191,15.403682708740234,0.0
0,cadna,dbg,178,5.761810466666667,4.675612853738867e-06
0,cadna,perf,7054802,18.68571163333333,0.1336085340667614
0,verrou_cestac,perf,977009,14.415387471516928,0.0009631000534568985
0,prism_ud,perf,509,6.810637633005778,2.7346055561836963e-06
0,verificarlo,dbg,13219,10.066686630249023,5.1060925814975135e-06
0,sr,dbg,107226,12.159973780314127,4.2836387433002734e-05
0,prism_sr,dbg,343046,13.322768211364746,0.00036731196827738036
0,prism_ud,perf,11768,9.950480779012045,0.00012344424925138695
0,baseline_float,dbg,453,6.694211959838867,0.0
0,prism_ud,perf,2595,8.438761075337728,1.8693530309027552e-05
0,verrou_sr,dbg,5857,9.252703666687012,3.6498035196387615e-05
0,baseline_double,perf,2477076,15.299805641174316,0.0
0,baseline_double,perf,191791,12.741379737854004,0.0
0,verrou_sr,perf,13219,10.066654841105143,1.2850051200490147e-05
0,baseline_float,perf,100,5.1873779296875,0.0
0,verrou_cestac,perf,1830,8.089571952819824,7.42805572862493e-06
0,sr,dbg,722,7.159933090209961,7.902655852417026e-06
0,verrou_cestac,perf,722,7.1599470774332685,2.7346055561836963e-06
0,cadna,perf,977009,14.4096979,0.00924533566832508
0,verrou_sr,dbg,811,7.276100953420003,3.0241485580508628e-06
0,prism_ud,dbg,10000000,15.40322494506836,0.004045810923257906
0,verrou_cestac,dbg,3511191,15.692052205403646,0.0007952863643286374
0,prism_sr,perf,8302,9.60153071085612,2.5355703484356272e-05
0,baseline_double,dbg,774263,14.136882781982422,0.0
0,verrou_cestac,perf,225,5.9955441157023115,2.592326232639963e-06
0,verrou_sr,perf,572,6.927228768666585,5.285990762175207e-06
0,baseline_float,perf,26560,10.764453887939453,0.0
0,prism_ud,perf,120450,12.276280085245768,0.00048733431501844294
0,verrou_cestac,dbg,23644,10.648125966389975,3.372946511510477e-05
0,baseline_float,dbg,75646,11.810892105102539,0.0
0,verificarlo,dbg,95454,12.043649991353353,3.1266687535443124e-05
